ville_id,ville,lat,lon,,,,
451,NAMUR,50.46739,4.87199,,,,
452,NANCY,48.69205,6.18442,,,,
453,NANTERRE,48.89242,2.21533,,,,
454,NANTES,47.21837,-1.55362,,,,
455,NARBONNE,43.18428,3.00308,,,,
456,NAY,43.17662,-0.26255,,,,
457,NEMOURS,48.26704,2.69261,,,,
458,NEUCHATEL,46.98999,6.92927,,,,
459,NEUFCHATEL EN BRAY,49.73277,1.44189,,,,
460,NEUVILLE DE POITOU,46.68593,0.24692,,,,
461,NEVERS,46.9909,3.16285,,,,
462,NICE,43.71017,7.26195,,,,
463,NIMES,43.8367,4.36005,,,,
464,NIORT,46.32372,-0.46478,,,,
465,NOGENT SUR MARNE,48.83763,2.4817,,,,
466,NOGENT SUR OISE,49.27895,2.46469,,,,
467,NOIRMOUTIER EN L ILLE,47.00114,-2.24711,,,,
468,NOISY LE SEC,48.89249,2.45863,,,,
469,OBERNAI,48.46226,7.48168,,,,
470,Olonne sur Mer,46.5364,-1.77283,,,,
471,OLORON SAINTE MARIE,43.19441,-0.60529,,,,
472,ORANGE,44.1381,4.80751,,,,
473,ORCHIES,50.4745,3.2428,,,,
474,ORCIERES,44.68496,6.3241,,,,
475,ORCIERES MERLETTE,44.69741,6.32323,,,,
476,ORLEANS,47.90296,1.90925,,,,
477,ORTHEZ,43.48756,-0.77393,,,,
478,PAL,46.50903,3.62539,,,,
479,PALAISEAU,48.71451,2.24575,,,,
480,Pamiers,43.11475,1.60795,,,,
481,PAMPLONA,42.81253,-1.64577,,,,
482,PANTIN,48.89453,2.40963,,,,
483,PARIS,48.85661,2.35222,,,,
484,PASSAGE DU GOIS,46.93065,-2.12408,,,,
485,PAU,43.2951,-0.3708,,,,
486,Pauillac,45.19959,-0.74621,,,,
487,PERIGEUX,45.18403,0.72111,,,,
488,PERIGUEUX,45.18403,0.72111,,,,
489,PERONNE,49.93307,2.93335,,,,
490,PERPIGNAN,42.68866,2.89483,,,,
491,PERROS GUIREC,48.81546,-3.44494,,,,
492,Peyragudes,42.78305,0.46017,,,,
493,PEYREHORADE,43.54563,-1.09721,,,,
494,PFORZHEIM,48.89219,8.69463,,,,
495,PIAU ENGALY,42.78366,0.15889,,,,
496,Pinerolo,44.88459,7.33067,,,,
497,PLA DADET,42.81311,0.30578,,,,
498,PLA DE BERET,45.34641,5.39382,,,,
499,PLATEAU DE BEILLE,42.72472,1.69118,,,,
500,PLATEAU DE BONASCRE,42.70206,1.81489,,,,
501,PLOUAY,47.91514,-3.33457,,,,
502,PLUMELEC,47.8377,-2.63941,,,,
503,PLYMOUTH,50.3714,-4.1422,,,,
504,POITIERS,46.58022,0.34038,,,,
505,PONT AUDEMER,49.35488,0.5143,,,,
506,PONT L'EVEQUE,49.28498,0.18277,,,,
507,PONTARLIER,46.9041,6.35424,,,,
508,PONTCHATEAU,47.43693,-2.08954,,,,
509,PONTOISE,49.05097,2.10065,,,,
510,PORNIC,47.11549,-2.10444,,,,
511,PORNICHET,47.26343,-2.34057,,,,
512,PORNICHET-LA BEAULE,47.26072,-2.33994,,,,
513,Porrentruy,47.41665,7.07657,,,,
514,PORT BARCARES,42.78773,3.03657,,,,
515,PORTARLIER,46.9041,6.35424,,,,
516,PORTO VECCHIO,41.59137,9.27831,,,,
517,PORTSMOUTH,49.20137,-0.38232,,,,
518,POUILLY EN AUXOIS,47.2625,4.55629,,,,
519,PRA LOUP,44.36991,6.6014,,,,
520,PRAPOUTEL,45.25597,5.99299,,,,
521,Prato Nevoso,44.25411,7.78025,,,,
522,PRIVAS,44.73527,4.59904,,,,
523,PUY DE DOME,45.71241,3.01558,,,,
524,PYRENEES 2000,42.52119,2.05886,,,,
525,QUIMPER,47.99754,-4.0979,,,,
526,RAMBOUILLET,48.64387,1.82908,,,,
527,Ramboullet,48.64387,1.82908,,,,
528,Redon,47.65074,-2.08394,,,,
529,REGNIE DURETTE,46.1368,4.64105,,,,
530,REIMS,49.25833,4.0317,,,,
531,RENAZE,47.79326,-1.05571,,,,
532,RENNES,48.11727,-1.67779,,,,
533,REVEL,43.45861,2.00457,,,,
534,Roanne,46.03443,4.0727,,,,
535,ROCHEFORT,45.9367,-0.9617,,,,
536,ROCHEFORT SUR MER,45.9367,-0.9617,,,,
537,RODEZ,44.34939,2.57599,,,,
538,ROQUEFORT,43.97457,2.99202,,,,
539,ROSCOFF,48.7262,-3.98533,,,,
540,ROTTERDAM,50.72187,3.13233,,,,
541,ROUBAIX,50.6927,3.17785,,,,
542,ROUEN,49.44323,1.09997,,,,
543,ROYAN,45.62303,-1.04318,,,,
544,RUELLE SUR TOUVRE,45.67676,0.21922,,,,
545,RUFFEC,46.02856,0.19934,,,,
546,RUNGIS,48.74936,2.34994,,,,
547,SAARLOUIS,49.31346,6.75229,,,,
548,SABLE SUR SARTHE,47.84049,-0.33342,,,,
549,SAINT AMAND LES EAUX,50.44898,3.42871,,,,
550,SAINT AMAND MONTROND,46.72549,2.5056,,,,
551,SAINT BREVIN,47.24666,-2.16581,,,,
552,Saint Briecu,48.51418,-2.76584,,,,
553,SAINT BRIEUC,48.51418,-2.76584,,,,
554,SAINT DENIS,48.93618,2.35744,,,,
555,SAINT DIER D'AUVERGNE,45.67556,3.48283,,,,
556,SAINT DIZIER,48.63769,4.94742,,,,
557,SAINT EMILION,44.89439,-0.15573,,,,
558,Saint Fargeau,47.64158,3.07085,,,,
559,SAINT FLOUR,45.03303,3.09486,,,,
560,SAINT GALMIER,45.59032,4.31839,,,,
561,SAINT GAUDENS,43.1069,0.72376,,,,
562,SAINT GERMAIN EN LAYE,48.89891,2.09376,,,,
563,SAINT GERVAIS,45.89201,6.71219,,,,
